id,level,category,en,zh,zh_pinyin,de,es,fr,ja,ja_romaji,pt,ru,notes
11,basic,Directions,Turn left at the traffic light and walk two blocks straight.,在红绿灯处左转，然后直走两个街区。,"Zài hónglǜdēng chù zuǒzhuǎn, ránhòu zhízǒu liǎng ge jiēqū.",Biegen Sie an der Ampel links ab und gehen Sie zwei Häuserblocks geradeaus.,Gire a la izquierda en el semáforo y camine dos cuadras recto.,Tournez à gauche au feu et marchez tout droit sur deux pâtés de maisons.,信号を左に曲がり、そのまま2ブロック直進してください。,"Shingō o hidari ni magari, sonomama ni burokku chokushin shite kudasai.",Vire à esquerda no semáforo e caminhe dois quarteirões em frente.,Поверните налево на светофоре и идите прямо два квартала.,"Imperative directions: 'Biegen Sie ab' (DE), 'Tournez' (FR), 'Gire' (ES), 'Поверните' (RU)."
12,basic,Travel & Transit,Can you help me find this address on the map?,你能帮我在地图上找到这个地址吗？,Nǐ néng bāng wǒ zài dìtú shàng zhǎodào zhè ge dìzhǐ ma?,"Können Sie mir helfen, diese Adresse auf der Karte zu finden?",¿Puede ayudarme a encontrar esta dirección en el mapa?,Pouvez-vous m'aider à trouver cette adresse sur la carte ?,地図でこの住所を探すのを手伝っていただけますか？,Chizu de kono jūsho o sagasu no o tetsudatte itadakemasu ka?,Você pode me ajudar a encontrar este endereço no mapa?,Не могли бы вы помочь мне найти этот адрес на карте?,"Polite requests with indirect objects: 'mir helfen' (DE dative), 'm'aider' (FR direct object)."
13,basic,Hobbies,I like listening to classical music while studying.,我喜欢在学习时听古典音乐。,Wǒ xǐhuan zài xuéxí shí tīng gǔdiǎn yīnyuè.,Ich höre beim Lernen gerne klassische Musik.,Me gusta escuchar música clásica mientras estudio.,J'aime écouter de la musique classique en étudiant.,勉強しながらクラシック音楽を聴くのが好きです。,Benkyō shinagara kurashikku ongaku o kiku no ga suki desu.,Gosto de ouvir música clássica enquanto estudo.,Я люблю слушать классическую музыку во время учёбы.,"Simultaneous actions: 'beim Lernen' (DE nominalized verb), 'en étudiant' (FR gérondif), '-nagara' (JA)."
14,basic,Shopping,How much does this jacket cost in total?,这件夹克总共多少钱？,Zhè jiàn jiákè zǒnggòng duōshǎo qián?,Wie viel kostet diese Jacke insgesamt?,¿Cuánto cuesta esta chaqueta en total?,Combien coûte cette veste au total ?,このジャケットは合計でいくらですか？,Kono jaketto wa gōkei de ikura desu ka?,Quanto custa esta jaqueta no total?,Сколько стоит эта куртка всего?,"Price asking formulas: 'Wie viel kostet' (DE), 'Combien coûte' (FR), 'Cuánto cuesta' (ES), 'いくら' (JA)."
15,basic,Social Courtesies,Thank you very much for your kind hospitality!,非常感谢您的热情款待！,Fēicháng gǎnxiè nín de rèqíng kuǎndài!,Vielen herzlichen Dank für Ihre freundliche Gastfreundschaft!,¡Muchas gracias por su amable hospitalidad!,Merci beaucoup pour votre aimable hospitalité !,温かいおもてなしをいただき、本当にありがとうございました！,"Atatakai omotenashi o itadaki, hontō ni arigatō gozaimashita!",Muito obrigado pela sua gentil hospitalidade!,Большое спасибо за ваше тёплое гостеприимство!,"Deep cultural gratitude: Japanese uses honorific 'おもてなし' (omotenashi), German compound 'Gastfreundschaft'."
16,intermediate,Travel & Transit,"If it rains this weekend, we can visit the art museum instead.",如果这个周末下雨，我们就可以改去参观美术馆。,"Rúguǒ zhè ge zhōumò xiàyǔ, wǒmen jiù kěyǐ gǎi qù cānguān měishùguǎn.","Wenn es dieses Wochenende regnet, können wir stattdessen das Kunstmuseum besuchen.","Si llueve este fin de semana, podemos visitar el museo de arte en su lugar.","S'il pleut ce week-end, nous pourrons visiter le musée d'art à la place.",今週末に雨が降ったら、代わりに美術館に行くことができます。,"Konshūmatsu ni ame ga futtara, kawari ni bijutsukan ni iku koto ga dekimasu.","Se chover neste fim de semana, podemos visitar o museu de arte em vez disso.","Если в эти выходные пойдёт дождь, мы сможем вместо этого посетить художественный музей.",Real conditional clause: German verb-last in subclause ('regnet') and V2 in main clause ('können wir').
17,intermediate,Work & Technology,I have been working on this software development project for three months.,我已经参与这个软件开发项目三个月了。,Wǒ yǐjīng cānyù zhè ge ruǎnjiàn kāifā xiàngmù sān ge yuè le.,Ich arbeite seit drei Monaten an diesem Softwareentwicklungsprojekt.,Llevo tres meses trabajando en este proyecto de desarrollo de software.,Je travaille sur ce projet de développement logiciel depuis trois mois.,私はこのソフトウェア開発プロジェクトに3か月間携わっています。,Watashi wa kono sofutowea kaihatsu purojekuto ni sankagetsukan tazusawatte imasu.,Estou trabalhando neste projeto de desenvolvimento de software há três meses.,Я работаю над этим проектом по разработке программного обеспечения уже три месяца.,Duration continuing into present: German uses 'seit' + present tense; Spanish uses 'llevar + gerund'; French uses 'depuis'.
18,intermediate,Travel & Logistics,"Although the flight was delayed, our luggage arrived safely at the destination.",尽管航班延误了，但我们的行李还是安全抵达了目的地。,"Jǐnguǎn hángbān yánwù le, dàn wǒmen de xíngli háishì ānquán dǐdá le mùdìdì.","Obwohl der Flug Verspätung hatte, kam unser Gepäck sicher am Zielort an.","Aunque el vuelo se retrasó, nuestro equipaje llegó a salvo al destino.","Bien que le vol ait eu du retard, nos bagages sont arrivés à destination sains et saufs.",フライトは遅延したものの、私たちの荷物は無事に目的地に届きました。,"Furaito wa chien shita mono no, watashitachi no nimotsu wa buji ni mokutekichi ni todokimashita.","Embora o voo tenha atrasado, nossa bagagem chegou em segurança ao destino.","Хотя рейс задержали, наш багаж благополучно прибыл в пункт назначения.",Concessive clauses: French 'Bien que' triggers subjunctive ('ait eu'); Portuguese 'Embora' triggers subjunctive ('tenha atrasado').
19,intermediate,Business & Decision,We should compare both proposals carefully before making a final decision.,在做出最终决定之前，我们应当仔细比较两份方案。,"Zài zuòchū zuìzhōng juédìng zhīqián, wǒmen yīngdāng zǐxì bǐjiào liǎng fèn fāng'àn.","Wir sollten beide Vorschläge sorgfältig vergleichen, bevor wir eine endgültige Entscheidung treffen.",Deberíamos comparar ambas propuestas cuidadosamente antes de tomar una decisión final.,Nous devrions comparer attentivement les deux propositions avant de prendre une décision finale.,最終決定を下す前に、両方の提案を慎重に比較すべきです。,"Saishū kettei o kudasu mae ni, ryōhō no teian o shinchō ni hikaku subeki desu.",Deveríamos comparar as duas propostas com cuidado antes de tomar uma decisão final.,"Нам следует тщательно сравнить оба предложения, прежде чем принимать окончательное решение.","Modal advice 'should' rendered with conditionals: 'sollten' (DE), 'deberíamos' (ES), 'devrions' (FR), 'следует' (RU)."
20,intermediate,Education & Learning,Learning vocabulary in context is far more effective than memorizing isolated word lists.,在语境中学习词汇远比单纯背诵孤立的单词表有效得多。,Zài yǔjìng zhōng xuéxí cíhuì yuǎn bǐ dānchún bèisòng gūlì de dāncíbiǎo yǒuxiào de duō.,"Wortschatz im Kontext zu lernen ist weitaus effektiver, als isolierte Wortlisten auswendig zu lernen.",Aprender vocabulario en contexto es mucho más eficaz que memorizar listas de palabras aisladas.,Apprendre le vocabulaire en contexte est bien plus efficace que de mémoriser des listes de mots isolés.,文脈の中で語彙を学ぶことは、孤立した単語リストを暗記するよりもはるかに効果的です。,"Bunjaku no naka de goi o manabu koto wa, koritsu shita tango risuto o anki suru yori mo haruka ni kōkateki desu.",Aprender vocabulário no contexto é muito mais eficaz do que memorizar listas de palavras isoladas.,"Изучение лексики в контексте гораздо эффективнее, чем заучивание изолированных списков слов.","Comparative degree with emphasis: 'weitaus effektiver als' (DE), 'bien plus efficace que' (FR), 'far more... than'."
21,intermediate,Hospitality & Travel,The hotel offers complimentary breakfast and high-speed wireless internet access.,该酒店提供免费早餐以及高速无线网络接入。,Gāi jiǔdiàn tígōng miǎnfèi zǎocān yǐjí gāosù wúxiàn wǎngluò jiērù.,Das Hotel bietet ein kostenloses Frühstück und schnellen drahtlosen Internetzugang.,El hotel ofrece desayuno gratuito y acceso a internet inalámbrico de alta velocidad.,L'hôtel propose un petit-déjeuner gratuit et un accès Internet sans fil à haut débit.,そのホテルは無料の朝食と高速無線インターネット接続を提供しています。,Sono hoteru wa muryō no chōshoku to kōsoku musen intānetto setsuzoku o teikyō shite imasu.,O hotel oferece café da manhã gratuito e acesso à internet sem fio de alta velocidade.,Отель предлагает бесплатный завтрак и высокоскоростной беспроводной доступ в интернет.,"Descriptive amenities: 'kostenlos' (DE), 'gratuit' (FR), 'gratuito' (ES/PT), 'бесплатный' (RU)."
22,intermediate,Linguistics,Could you explain the difference between these two grammar rules with an example?,您能举个例子解释一下这两个语法规则之间的区别吗？,Nín néng jǔ ge lìzi jiěshì yíxià zhè liǎng ge yǔfǎ guīzé zhījiān de qūbié ma?,Könnten Sie den Unterschied zwischen diesen beiden Grammatikregeln anhand eines Beispiels erklären?,¿Podría explicar la diferencia entre estas dos reglas gramaticales con un ejemplo?,Pourriez-vous expliquer la différence entre ces deux règles de grammaire à l'aide d'un exemple ?,例を挙げて、これら2つの文法規則の違いを説明していただけますか？,"Rei o agete, korera futatsu no bunpō kisoku no chigai o setsumei shite itadakemasu ka?",Você poderia explicar a diferença entre estas duas regras gramaticais com um exemplo?,Не могли бы вы на примере объяснить разницу между этими двумя грамматическими правилами?,German uses prepositional phrase 'anhand eines Beispiels' (genitive case) for precision.
23,intermediate,Career & Life,He decided to change his career path after attending an international conference.,在参加了一场国际会议后，他决定改变自己的职业发展方向。,"Zài cānjiā le yì chǎng guójì huìyì hòu, tā juédìng gǎibiàn zìjǐ de zhíyè fāzhǎn fāngxiàng.","Er beschloss, seine berufliche Laufbahn zu ändern, nachdem er an einer internationalen Konferenz teilgenommen hatte.",Decidió cambiar su trayectoria profesional tras asistir a una conferencia internacional.,Il a décidé de réorienter sa carrière après avoir assisté à une conférence internationale.,彼は国際会議に参加した後、キャリアの方向性を変えることを決意しました。,"Kare wa kokusai kaigi ni sanka shita nochi, kyaria no hōkōsei o kaeru koto o ketsui shimashita.",Ele decidiu mudar de carreira depois de participar de uma conferência internacional.,Он решил сменить сферу деятельности после посещения международной конференции.,Complex past sequence: German pluperfect 'teilgenommen hatte' after 'nachdem'; French past infinitive 'après avoir assisté'.
24,intermediate,Work & Management,Please submit your monthly progress report before Friday afternoon.,请在周五下午之前提交您的月度进度报告。,Qǐng zài zhōuwǔ xiàwǔ zhīqián tíjiāo nín de yuèdù jìndù bàogào.,Bitte reichen Sie Ihren monatlichen Fortschrittsbericht vor Freitagnachmittag ein.,"Por favor, entregue su informe de progreso mensual antes del viernes por la tarde.",Veuillez soumettre votre rapport d'avancement mensuel avant vendredi après-midi.,金曜日の午後までに月次進捗報告書を提出してください。,Kin'yōbi no gogo made ni getsuji shinchoku hōkokusho o teishutsu shite kudasai.,"Por favor, envie seu relatório mensal de progresso antes de sexta-feira à tarde.","Пожалуйста, отправьте ваш ежемесячный отчёт о проделанной работе до полудня пятницы.","Polite formal requests: 'Veuillez soumettre' (FR), 'Reichen Sie ein' (DE separable verb), '提出してください' (JA)."
25,intermediate,Urban Life,"Public transportation in this city is reliable, fast, and relatively inexpensive.",这座城市的公共交通可靠、快捷，而且相对便宜。,"Zhè zuò chéngshì de gōnggòng jiāotōng kěkào, kuàijié, érqiě xiāngduì piányi.","Der öffentliche Nahverkehr in dieser Stadt ist zuverlässig, schnell und relativ preiswert.","El transporte público en esta ciudad es fiable, rápido y relativamente económico.","Les transports en commun de cette ville sont fiables, rapides et relativement abordables.",この都市の公共交通機関は信頼性が高く、速く、比較的安価です。,"Kono toshi no kōkyō kōtsū kikan wa shinraisei ga takaku, hayaku, hikakuteki anka desu.","O transporte público nesta cidade é confiável, rápido e relativamente acessível.","Общественный транспорт в этом городе надёжный, быстрый и относительно недорогой.","Compound terminology: 'öffentlicher Nahverkehr' (DE ÖPNV), 'transports en commun' (FR), '公共交通機関' (JA)."
26,intermediate,Travel & Culture,"Whenever I travel abroad, I try to taste the traditional local dishes.",每逢出国旅行，我总会设法品尝当地的传统菜肴。,"Měi féng chūguó lǚxíng, wǒ zǒng huì shèfǎ pǐncháng dāngdì de chuántǒng càiyáo.","Wann immer ich ins Ausland reise, versuche ich, die traditionellen lokalen Gerichte zu probieren.","Siempre que viajo al extranjero, intento probar los platos tradicionales locales.","Chaque fois que je voyage à l'étranger, j'essaie de goûter aux plats traditionnels locaux.",海外を旅行するときはいつでも、地元の伝統料理を味わうようにしています。,"Kaigai o ryokō suru toki wa itsudemo, jimoto no dentō ryōri o ajiwau yō ni shite imasu.","Sempre que viajo para o exterior, procuro provar os pratos tradicionais locais.","Всякий раз, когда я путешествую за границу, я стараюсь пробовать традиционные блюда местной кухни.","Habitual recurring action: 'Wann immer' (DE), 'Chaque fois que' (FR), 'Sempre que' (PT/ES), '〜ようにしている' (JA effort)."
27,intermediate,Technology & Work,She managed to solve the network connection issue within twenty minutes.,她在二十分钟之内成功解决了网络连接故障。,Tā zài èrshí fēnzhōng zhīnèi chénggōng jiějué le wǎngluò liánjiē gùzhàng.,"Es gelang ihr, das Netzwerkverbindungsproblem innerhalb von zwanzig Minuten zu beheben.",Logró resolver el problema de conexión de red en veinte minutos.,Elle a réussi à résoudre le problème de connexion réseau en vingt minutes.,彼女は20分以内にネットワーク接続の問題を解決することができました。,Kanojo wa nijuppun inai ni nettowāku setsuzoku no mondai o kaiketsu suru koto ga dekimashita.,Ela conseguiu resolver o problema de conexão de rede em vinte minutos.,Ей удалось устранить неполадки с сетевым подключением за двадцать минут.,"Impersonal triumph verbs: German 'es gelang ihr', Russian 'ей удалось' (both govern dative pronoun)."
28,intermediate,Dining & Social,We need to reserve a table at the restaurant because it gets very crowded on weekends.,我们必须在那家餐馆订位，因为周末那里人满为患。,"Wǒmen bìxū zài nà jiā cānguǎn dìngwèi, yīnwèi zhōumò nàlǐ rénmǎnwèihuàn.","Wir müssen einen Tisch im Restaurant reservieren, da es am Wochenende sehr voll wird.",Tenemos que reservar una mesa en el restaurante porque se llena mucho los fines de semana.,Nous devons réserver une table au restaurant car il y a beaucoup de monde le week-end.,週末は非常に混雑するため、レストランの席を予約する必要があります。,"Shūmatsu wa hijō ni konzatsu suru tame, resutoran no seki o yoyaku suru hitsuyō ga arimasu.",Precisamos reservar uma mesa no restaurante porque fica muito lotado nos fins de semana.,"Нам нужно забронировать столик в ресторане, потому что по выходным там бывает очень многолюдно.","Causal conjunctions: 'da' (DE, verb at end), 'car' (FR), 'porque' (ES/PT), 'ため' (JA), 'потому что' (RU)."
29,intermediate,Health & Lifestyle,Regular exercise and adequate sleep are essential for maintaining mental well-being.,规律的锻炼和充足的睡眠对于保持心理健康至关重要。,Guīlǜ de duànliàn hé chōngzú de shuìmián duìyú bǎochí xīnlǐ jiànkāng zhìguān zhòngyào.,Regelmäßige Bewegung und ausreichender Schlaf sind unerlässlich für das geistige Wohlbefinden.,El ejercicio regular y el sueño adecuado son esenciales para mantener el bienestar mental.,Une activité physique régulière et un sommeil suffisant sont indispensables pour préserver le bien-être mental.,定期的な運動と十分な睡眠は、心の健康を維持するために不可欠です。,"Teikiteki na undō to jūbun na suimin wa, kokoro no kenkō o iji suru tame ni fukaketsu desu.",Exercícios regulares e sono adequado são essenciais para manter o bem-estar mental.,Регулярные физические упражнения и достаточный сон необходимы для поддержания психического благополучия.,"Adjectives of necessity: 'unerlässlich' (DE), 'indispensables' (FR), 'esenciales' (ES/PT), '不可欠' (JA fukaketsu)."
30,intermediate,Collaboration,The manager suggested scheduling a weekly synchronization meeting for the entire team.,经理建议为整个团队安排一次每周例行的同步会议。,Jīnglǐ jiànyì wèi zhěnggè tuánduì ānpái yí cì měi zhōu lìxíng de tóngbù huìyì.,"Die Abteilungsleitung schlug vor, ein wöchentliches Abstimmungstreffen für das gesamte Team zu planen.",El director sugirió programar una reunión semanal de coordinación para todo el equipo.,Le responsable a suggéré de planifier une réunion de synchronisation hebdomadaire pour toute l'équipe.,マネージャーはチーム全体のために週次の同期ミーティングを設定することを提案しました。,Manējā wa chīmu zentai no tame ni shūji no dōki mītingu o setteisuru koto o teian shimashita.,O gerente sugeriu agendar uma reunião semanal de alinhamento para toda a equipe.,Руководитель предложил организовать еженедельную синхронизационную встречу для всей команды.,"Subjunctive / indirect speech triggers: Spanish 'sugirió que...'; German 'schlug vor, ... zu planen'."
31,advanced,Systems Architecture,The architectural transition from monolithic systems to microservices introduces significant operational complexity.,从单体系统向微服务的架构演进引入了极大的运维复杂性。,Cóng dāntǐ xìtǒng xiàng wēifúwù de jiàgòu yǎnjìn yǐnrù le jí dà de yùnwéi fùzáxìng.,Der architektonische Übergang von monolithischen Systemen zu Microservices bringt eine erhebliche betriebliche Komplexität mit sich.,La transición arquitectónica de sistemas monolíticos a microservicios introduce una complejidad operativa considerable.,La transition architecturale d'un système monolithique vers des microservices introduit une complexité opérationnelle considérable.,モノリシックなシステムからマイクロサービスへのアーキテクチャ移行は、運用面で重大な複雑性をもたらします。,"Monorishikku na shisutemu kara maikuro sābisu e no ākitekucha ikō wa, un'yōmen de jūdaina fukuzatsusei o motarashimasu.",A transição arquitetural de sistemas monolíticos para microsserviços introduz uma complexidade operacional considerável.,Архитектурный переход от монолитных систем к микросервисам влечёт за собой значительную сложность в эксплуатации.,High register technical prose: German idiom 'bringt mit sich'; Russian verbal idiom 'влечёт за собой' (implies/entails).
32,advanced,Philosophy & Science,Correlation between empirical observations does not necessarily establish a causal relationship.,经验观察之间的相关性并不必然意味着确立了因果关系。,Jīngyàn guānchá zhījiān de xiāngguānxìng bìng bù bìrán yìwèizhe quèlì le yīnguǒ guānxì.,Eine Korrelation zwischen empirischen Beobachtungen begründet nicht zwangsläufig einen kausalen Zusammenhang.,La correlación entre observaciones empíricas no establece necesariamente una relación causal.,La corrélation entre des observations empiriques n'établit pas nécessairement un lien de causalité.,経験的観察における相関関係は、必ずしも因果関係を証明するものではありません。,"Keikenteki kansatsu ni okeru sōkan kankei wa, kanarazushimo inga kankei o shōmei suru mono dewa arimasen.",A correlação entre observações empíricas não estabelece necessariamente uma relação de causalidade.,Корреляция между эмпирическими наблюдениями не обязательно свидетельствует о наличии причинно-следственной связи.,Epistemological precision: German 'begründet... Zusammenhang'; Russian 'причинно-следственная связь' (cause-and-effect link).
33,advanced,Policy & Economics,The legislative reforms aim to reconcile competitive market forces with environmental sustainability.,这项立法改革旨在协调具有竞争性的市场机制与环境可持续性。,Zhè xiàng lìfǎ gǎigé zhǐzài xiétiáo jùyǒu jìngzhēngxìng de shìchǎng jīzhì yǔ huánjìng kěchíxùxìng.,"Die gesetzgeberischen Reformen zielen darauf ab, marktwirtschaftliche Kräfte mit ökologischer Nachhaltigkeit in Einklang zu bringen.",Las reformas legislativas pretenden conciliar las fuerzas competitivas del mercado con la sostenibilidad ambiental.,Les réformes législatives visent à concilier les forces concurrentielles du marché avec la durabilité environnementale.,法改正は、市場の競争原理と環境の持続可能性を両立させることを目指しています。,"Hōkaisei wa, shijō no kyōsō genri to kankyō no jizoku kanōsei o ryōritsu saseru koto o mezashite imasu.",As reformas legislativas visam conciliar as forças de mercado competitivas com a sustentabilidade ambiental.,Законодательные реформы нацелены на согласование рыночной конкуренции с экологической устойчивостью.,German fixed verbal phrase 'in Einklang bringen' (harmonize/reconcile); Japanese '両立させる' (make coexist simultaneously).
34,advanced,Security & Cryptography,Quantum computing fundamentally alters the cryptographic foundations upon which modern digital security relies.,量子计算从根本上动摇了现代数字安全所依托的密码学基石。,Liàngzǐ jìsuàn cóng gēnběn shàng dòngyáo le xiàndài shùzì ānquán suǒ yītuō de mìmǎxué jīshí.,"Das Quantencomputing verändert grundlegend das kryptografische Fundament, auf dem die moderne digitale Sicherheit beruht.",La computación cuántica altera fundamentalmente los cimientos criptográficos en los que se apoya la seguridad digital moderna.,L'informatique quantique bouleverse fondamentalement les fondements cryptographiques sur lesquels repose la sécurité numérique moderne.,量子コンピューティングは、現代のデジタルセキュリティが立脚する暗号学的基盤を根本から揺るがします。,"Ryōshi konpyūtingu wa, gendai no dejitaru sekyuriti ga rikkyaku suru angōgakuteki kiban o nemoto kara yurugashimasu.",A computação quântica altera fundamentalmente os alicerces criptográficos sobre os quais repousa a segurança digital moderna.,"Квантовые вычисления коренным образом меняют криптографический базис, на который опирается современная цифровая безопасность.","Prepositional relative clause: 'auf dem... beruht' (DE), 'sur lesquels repose' (FR), 'sobre os quais repousa' (PT)."
35,advanced,Literature & Criticism,The author deliberately employs unreliable narration to interrogate the subjective nature of historical memory.,作者特意采用不可靠的叙述视角，以审视历史记忆的主观本质。,"Zuòzhě tèyì cǎiyòng bùkěkào de xùshù shìjiǎo, yǐ shěnshì lìshǐ jìyì de zhǔguān běnzhì.","Der Autor setzt bewusst unzuverlässiges Erzählen ein, um das subjektive Wesen des historischen Gedächtnisses zu hinterfragen.",El autor emplea deliberadamente una narración no fiable para cuestionar la naturaleza subjetiva de la memoria histórica.,L'auteur recourt délibérément à une narration non fiable pour interroger la nature subjective de la mémoire historique.,著者はあえて信頼できない語り手を用いることで、歴史的記憶の主観的な本質を問い直しています。,"Chosha wa aete shinrai dekinai katarite o mochiiru koto de, rekishiteki kioku no shukanteki na honshitsu o toinaoshite imasu.",O autor emprega deliberadamente uma narrativa não confiável para questionar a natureza subjetiva da memória histórica.,"Автор намеренно прибегает к приёму ненадёжного рассказчика, чтобы подвергнуть сомнению субъективную природу исторической памяти.","Literary terminology: 'unzuverlässiges Erzählen' (DE), 'narrateur non fiable' (FR), 'ненадёжный рассказчик' (RU)."
